price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m
6.25,25.0,3.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,2.0
16.9,86.0,18.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.2,4.0
5.8,34.0,2.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,3.0,3.1,3.0
5.8,32.0,6.0,Hà Đông,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,4.5,3.0
14.5,48.0,4.0,Long Biên,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.2,4.0
12.5,78.0,5.0,Hà Đông,Tây,Cơ bản,Sổ đỏ/Sổ hồng,3.0,11.0,4.0
16.7,59.0,5.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.2,4.0
13.9,45.0,5.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
13.9,60.0,4.5,Bắc Từ Liêm,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,6.0,5.0
9.0,30.0,3.0,Hai Bà Trưng,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.0
14.0,70.0,4.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.2,4.0
14.0,70.0,4.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.2,4.0
10.0,35.0,2.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,2.0,4.0,10.0
4.0,16.0,2.0,Hai Bà Trưng,Đông - Nam,Cơ bản,Sổ đỏ/Sổ hồng,3.0,8.0,2.5
11.0,51.4,4.0,Nam Từ Liêm,Không rõ,Không nội thất,Sổ đỏ/Sổ hồng,3.0,3.5,2.0
10.2,39.0,5.0,Nam Từ Liêm,Không rõ,Không rõ,Không rõ,5.5,4.5,3.5
9.1,30.2,3.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,3.3,2.0
9.3,39.0,5.0,Cầu Giấy,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.6,3.0
9.0,42.5,4.0,Hà Đông,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.5,4.0
16.45,70.0,5.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,4.0
32.0,92.0,5.0,Tây Hồ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,7.05,5.0
4.65,34.0,3.0,Hà Đông,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,5.0,5.0
4.35,45.0,4.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.5,4.0
3.95,32.0,3.0,Hà Đông,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,4.5,4.0
15.5,72.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.2,5.0
5.5,43.8,4.0,Khác,Không rõ,Không rõ,Không rõ,4.0,5.0,4.0
